duration,pdays,variacion_empleo,euribor3m,nr.employed,y
485.0,999.0,1.4,4.959,5228.1,0
142.0,999.0,1.4,4.97,5228.1,0
72.0,999.0,-1.1,0.987,4963.6,0
154.0,999.0,1.4,4.962,5228.1,0
331.0,6.0,-1.1,0.876,4963.6,1
318.0,999.0,-1.8,1.313,5099.1,0
365.0,999.0,1.4,4.959,5228.1,0
33.0,999.0,1.4,4.968,5228.1,0
81.0,999.0,1.1,4.86,5191.0,0
247.0,999.0,1.1,4.856,5191.0,0
56.0,999.0,-1.8,1.299,5099.1,0
107.0,999.0,1.4,4.96,5228.1,0
192.0,999.0,-1.7,0.876,4991.6,0
94.0,999.0,-2.9,1.244,5076.2,0
96.0,999.0,1.4,4.964,5228.1,0
393.0,999.0,1.1,4.855,5191.0,0
191.0,999.0,-1.8,1.281,5099.1,0
479.0,999.0,-2.9,0.838,5076.2,1
68.0,999.0,1.4,4.968,5228.1,0
158.0,999.0,-1.8,1.466,5099.1,1
302.0,999.0,1.1,4.857,5191.0,0
193.0,999.0,-1.8,1.281,5099.1,0
109.0,999.0,-1.8,1.365,5099.1,0
112.0,999.0,-1.8,1.244,5099.1,0
400.0,999.0,1.4,4.957,5228.1,0
170.0,999.0,-1.8,1.291,5099.1,0
379.0,999.0,1.1,4.857,5191.0,0
87.0,999.0,1.1,4.856,5191.0,0
48.0,999.0,-1.8,1.25,5099.1,0
134.0,999.0,1.1,4.857,5191.0,0
164.0,999.0,-1.8,1.405,5099.1,0
101.0,999.0,1.1,4.86,5191.0,0
114.0,999.0,1.4,4.962,5228.1,0
234.0,3.0,-1.8,0.683,5008.7,1
59.0,999.0,-0.1,4.076,5195.8,0
17.0,999.0,1.4,4.959,5228.1,0
401.0,999.0,-0.1,4.12,5195.8,0
18.0,999.0,1.4,4.967,5228.1,0
213.0,999.0,1.1,4.856,5191.0,0
163.0,999.0,1.1,4.856,5191.0,0
58.0,999.0,1.1,4.858,5191.0,0
128.0,999.0,-2.9,1.266,5076.2,0
319.0,999.0,1.1,4.857,5191.0,0
336.0,999.0,1.1,4.858,5191.0,0
203.0,999.0,-1.7,0.84,4991.6,0
26.0,999.0,-1.8,1.313,5099.1,0
134.0,999.0,-0.1,4.191,5195.8,0
89.0,999.0,-2.9,0.834,5076.2,0
180.0,999.0,-0.1,4.191,5195.8,0
377.0,999.0,1.4,4.968,5228.1,0
273.0,999.0,1.4,4.962,5228.1,0
300.0,3.0,-2.9,1.26,5076.2,1
8.0,999.0,-1.8,1.266,5099.1,0
173.0,999.0,1.4,4.964,5228.1,0
293.0,999.0,1.1,4.857,5191.0,0
138.0,999.0,-0.1,4.153,5195.8,0
378.0,999.0,-1.8,1.354,5099.1,0
26.0,999.0,1.1,4.864,5191.0,0
383.0,999.0,-1.8,1.313,5099.1,0
331.0,999.0,1.4,4.961,5228.1,0
155.0,999.0,-1.8,1.281,5099.1,0
835.0,999.0,1.4,4.96,5228.1,0
483.0,999.0,1.1,4.857,5191.0,0
272.0,999.0,-1.8,1.281,5099.1,0
544.0,999.0,-1.8,1.51,5099.1,0
39.0,999.0,1.4,4.959,5228.1,0
280.0,999.0,1.4,4.962,5228.1,0
145.0,999.0,1.4,4.96,5228.1,0
508.0,999.0,1.4,4.964,5228.1,0
70.0,999.0,-1.8,1.405,5099.1,0
128.0,999.0,-1.8,1.313,5099.1,0
172.0,999.0,1.1,4.857,5191.0,0
485.0,999.0,1.1,4.857,5191.0,0
1032.0,999.0,-0.1,4.021,5195.8,0
64.0,999.0,1.4,4.964,5228.1,0
167.0,999.0,1.1,4.858,5191.0,0
560.0,999.0,1.1,4.857,5191.0,0
31.0,999.0,1.4,4.965,5228.1,0
103.0,999.0,-0.1,4.076,5195.8,0
185.0,999.0,-1.7,0.886,4991.6,1
65.0,999.0,1.4,4.961,5228.1,0
220.0,999.0,1.4,4.963,5228.1,0
293.0,999.0,-0.1,4.191,5195.8,0
187.0,4.0,-2.9,0.884,5076.2,1
110.0,999.0,-2.9,0.883,5076.2,0
221.0,999.0,1.1,4.856,5191.0,0
216.0,999.0,1.4,4.961,5228.1,0
504.0,6.0,-3.4,0.733,5017.5,1
318.0,999.0,-1.8,1.291,5099.1,0
126.0,999.0,-0.1,4.021,5195.8,0
438.0,999.0,-1.8,1.313,5099.1,0
228.0,999.0,-1.8,1.334,5099.1,0
129.0,999.0,-1.7,0.896,4991.6,0
7.0,999.0,-1.8,1.25,5099.1,0
77.0,999.0,-1.8,1.27,5099.1,0
72.0,999.0,1.1,4.857,5191.0,0
201.0,999.0,-1.8,1.334,5099.1,0
105.0,999.0,1.4,4.964,5228.1,0
1165.0,999.0,1.4,4.963,5228.1,0
52.0,999.0,-1.8,1.244,5099.1,0
153.0,999.0,1.4,4.965,5228.1,0
121.0,999.0,1.4,4.968,5228.1,0
81.0,999.0,1.4,4.957,5228.1,0
1287.0,999.0,1.4,4.961,5228.1,0
159.0,999.0,-1.8,1.405,5099.1,0
81.0,999.0,-1.8,1.259,5099.1,0
317.0,999.0,1.1,4.857,5191.0,0
564.0,999.0,-1.8,0.685,5008.7,0
213.0,999.0,1.1,4.857,5191.0,0
123.0,999.0,1.1,4.858,5191.0,0
241.0,999.0,1.4,4.966,5228.1,0
364.0,999.0,-1.8,0.654,5008.7,0
26.0,999.0,1.1,4.86,5191.0,0
226.0,999.0,-1.8,1.334,5099.1,0
58.0,999.0,1.4,4.965,5228.1,0
572.0,999.0,1.4,4.957,5228.1,1
14.0,999.0,1.4,4.959,5228.1,0
12.0,999.0,-1.8,1.299,5099.1,0
188.0,999.0,1.1,4.856,5191.0,0
232.0,999.0,-1.8,1.327,5099.1,0
154.0,999.0,1.4,4.963,5228.1,0
47.0,999.0,-0.1,4.021,5195.8,0
84.0,999.0,1.4,4.962,5228.1,0
254.0,999.0,-0.1,4.076,5195.8,0
155.0,999.0,-1.8,1.244,5099.1,0
578.0,999.0,-1.8,1.266,5099.1,1
337.0,999.0,1.1,4.859,5191.0,0
187.0,999.0,1.4,4.962,5228.1,0
198.0,999.0,1.4,4.962,5228.1,0
12.0,999.0,-1.7,0.861,4991.6,0
247.0,999.0,1.4,4.962,5228.1,0
336.0,999.0,-3.0,0.714,5023.5,1
293.0,999.0,1.1,4.857,5191.0,0
188.0,999.0,1.1,4.857,5191.0,0
53.0,999.0,1.4,4.963,5228.1,0
106.0,999.0,1.4,4.865,5228.1,0
285.0,999.0,1.4,4.963,5228.1,0
64.0,999.0,1.4,4.959,5228.1,0
225.0,999.0,1.4,4.963,5228.1,0
138.0,999.0,-2.9,0.883,5076.2,0
179.0,999.0,1.1,4.857,5191.0,0
303.0,999.0,1.1,4.86,5191.0,0
145.0,999.0,1.4,4.964,5228.1,0
85.0,999.0,1.1,4.857,5191.0,0
633.0,999.0,1.1,4.857,5191.0,0
67.0,999.0,1.4,4.963,5228.1,0
406.0,999.0,1.1,4.856,5191.0,0
150.0,999.0,1.1,4.857,5191.0,0
64.0,999.0,1.4,4.961,5228.1,0
61.0,999.0,1.4,4.961,5228.1,0
723.0,999.0,-0.1,4.12,5195.8,0
27.0,999.0,1.4,4.968,5228.1,0
41.0,999.0,1.4,4.866,5228.1,0
92.0,999.0,1.4,4.964,5228.1,0
372.0,999.0,-0.1,4.153,5195.8,0
77.0,999.0,1.4,4.864,5228.1,0
189.0,999.0,-2.9,1.262,5076.2,0
57.0,999.0,1.4,4.963,5228.1,0
129.0,999.0,-2.9,0.873,5076.2,0
106.0,999.0,1.1,4.857,5191.0,0
81.0,999.0,1.4,4.864,5228.1,0
340.0,999.0,1.1,4.856,5191.0,0
136.0,3.0,-2.9,1.26,5076.2,0
189.0,999.0,-1.8,1.291,5099.1,0
89.0,999.0,-0.1,4.12,5195.8,0
103.0,999.0,1.1,4.855,5191.0,0
284.0,999.0,1.4,4.966,5228.1,0
57.0,6.0,-0.1,4.021,5195.8,0
674.0,999.0,1.4,4.968,5228.1,1
217.0,999.0,1.1,4.859,5191.0,0
606.0,999.0,1.1,4.859,5191.0,0
119.0,999.0,1.4,4.961,5228.1,0
583.0,5.0,-1.8,1.41,5099.1,1
131.0,999.0,-0.1,4.12,5195.8,0
76.0,999.0,1.4,4.961,5228.1,0
174.0,999.0,1.1,4.858,5191.0,0
152.0,999.0,-1.8,1.299,5099.1,0
165.0,999.0,1.4,4.963,5228.1,0
119.0,999.0,1.1,4.856,5191.0,0
6.0,999.0,-1.8,1.313,5099.1,0
253.0,12.0,-1.8,1.344,5099.1,0
275.0,999.0,1.4,4.967,5228.1,0
260.0,999.0,1.1,4.859,5191.0,0
87.0,999.0,-1.8,1.415,5099.1,0
205.0,999.0,-2.9,1.099,5076.2,1
635.0,999.0,1.4,4.961,5228.1,0
166.0,999.0,1.4,4.957,5228.1,0
455.0,999.0,1.4,4.864,5228.1,0
1410.0,999.0,-1.8,1.41,5099.1,0
260.0,999.0,1.4,4.965,5228.1,0
890.0,999.0,1.4,4.962,5228.1,1
96.0,999.0,1.4,4.968,5228.1,0
280.0,999.0,1.4,4.962,5228.1,0
479.0,999.0,-1.8,1.299,5099.1,0
80.0,999.0,1.4,4.966,5228.1,0
172.0,999.0,-1.8,1.405,5099.1,0
1300.0,999.0,1.4,4.963,5228.1,0
326.0,999.0,-1.8,1.313,5099.1,0
480.0,999.0,-1.8,1.266,5099.1,0
234.0,999.0,1.1,4.858,5191.0,0
210.0,999.0,1.4,4.963,5228.1,0
286.0,999.0,1.4,4.963,5228.1,0
155.0,999.0,-0.1,4.153,5195.8,0
124.0,999.0,1.4,4.962,5228.1,0
7.0,999.0,-1.8,1.25,5099.1,0
122.0,999.0,1.4,4.961,5228.1,0
130.0,999.0,1.1,4.857,5191.0,0
51.0,999.0,1.4,4.958,5228.1,0
1121.0,3.0,-1.8,1.354,5099.1,0
903.0,999.0,-1.8,1.244,5099.1,1
263.0,999.0,-1.7,0.767,4991.6,1
93.0,999.0,1.1,4.858,5191.0,0
357.0,999.0,-1.8,1.291,5099.1,0
263.0,999.0,1.4,4.96,5228.1,0
307.0,999.0,1.4,4.958,5228.1,0
131.0,999.0,-0.1,4.12,5195.8,0
126.0,999.0,1.4,4.963,5228.1,0
528.0,999.0,1.4,4.962,5228.1,0
22.0,999.0,-1.8,1.244,5099.1,0
490.0,999.0,1.1,4.855,5191.0,0
473.0,999.0,1.1,4.856,5191.0,0
266.0,999.0,1.4,4.963,5228.1,0
30.0,999.0,1.4,4.968,5228.1,0
114.0,999.0,-1.8,1.405,5099.1,0
294.0,2.0,-1.8,1.365,5099.1,1
94.0,999.0,1.4,4.962,5228.1,0
14.0,999.0,1.4,4.965,5228.1,0
67.0,999.0,-0.1,4.12,5195.8,0
109.0,999.0,-1.8,1.264,5099.1,0
212.0,999.0,1.1,4.857,5191.0,0
176.0,999.0,1.4,4.967,5228.1,0
98.0,999.0,1.4,4.965,5228.1,0
183.0,999.0,1.4,4.965,5228.1,0
226.0,999.0,1.1,4.856,5191.0,0
150.0,999.0,-0.1,4.076,5195.8,0
202.0,999.0,1.1,4.855,5191.0,0
113.0,999.0,1.4,4.957,5228.1,0
571.0,999.0,1.4,4.962,5228.1,0
713.0,999.0,-1.7,0.72,4991.6,1
801.0,999.0,-1.8,1.244,5099.1,1
180.0,999.0,1.1,4.857,5191.0,0
203.0,999.0,-1.8,1.405,5099.1,0
39.0,999.0,1.4,4.962,5228.1,0
175.0,999.0,1.4,4.958,5228.1,0
422.0,999.0,-1.8,1.423,5099.1,0
220.0,999.0,1.4,4.864,5228.1,0
152.0,999.0,1.1,4.856,5191.0,0
96.0,999.0,1.4,4.964,5228.1,0
171.0,999.0,1.4,4.962,5228.1,0
99.0,999.0,-0.1,4.153,5195.8,0
214.0,0.0,-1.8,1.344,5099.1,0
88.0,999.0,1.1,4.857,5191.0,0
128.0,999.0,-1.8,1.266,5099.1,0
414.0,999.0,-1.7,0.81,4991.6,1
322.0,999.0,-0.1,4.12,5195.8,0
113.0,999.0,-1.8,1.244,5099.1,0
130.0,7.0,-3.4,0.714,5017.5,1
51.0,999.0,1.4,4.965,5228.1,0
59.0,999.0,1.4,4.957,5228.1,0
442.0,999.0,1.4,4.865,5228.1,0
207.0,999.0,-1.8,1.405,5099.1,0
21.0,999.0,1.4,4.962,5228.1,0
49.0,999.0,1.4,4.962,5228.1,0
313.0,999.0,1.1,4.857,5191.0,0
145.0,999.0,-1.8,1.453,5099.1,0
414.0,999.0,1.4,4.967,5228.1,0
111.0,999.0,-2.9,1.26,5076.2,0
230.0,999.0,-1.8,1.244,5099.1,0
202.0,999.0,1.4,4.865,5228.1,0
751.0,999.0,1.1,4.857,5191.0,1
12.0,999.0,1.4,4.959,5228.1,0
148.0,999.0,1.4,4.962,5228.1,0
222.0,999.0,-0.1,4.12,5195.8,0
109.0,999.0,-1.8,1.365,5099.1,0
251.0,999.0,-0.1,4.021,5195.8,0
355.0,999.0,1.4,4.966,5228.1,0
108.0,999.0,1.4,4.963,5228.1,0
182.0,999.0,-1.8,1.313,5099.1,0
338.0,999.0,1.4,4.865,5228.1,0
180.0,999.0,-0.1,4.191,5195.8,0
209.0,999.0,1.4,4.961,5228.1,0
319.0,999.0,1.1,4.855,5191.0,0
135.0,999.0,-0.1,4.12,5195.8,0
832.0,999.0,1.1,4.858,5191.0,0
74.0,999.0,-1.8,1.25,5099.1,0
310.0,999.0,1.4,4.962,5228.1,0
242.0,999.0,1.4,4.955,5228.1,0
238.0,999.0,1.4,4.961,5228.1,0
143.0,999.0,1.1,4.857,5191.0,0
768.0,3.0,-1.7,0.889,4991.6,0
187.0,999.0,-1.8,1.291,5099.1,0
165.0,999.0,-1.8,1.299,5099.1,0
714.0,999.0,1.4,4.961,5228.1,0
127.0,999.0,1.4,4.959,5228.1,0
161.0,999.0,-0.1,4.021,5195.8,0
148.0,999.0,1.4,4.864,5228.1,0
399.0,999.0,1.4,4.962,5228.1,0
2078.0,999.0,1.4,4.963,5228.1,1
42.0,999.0,-2.9,1.099,5076.2,0
627.0,6.0,-3.4,0.714,5017.5,1
84.0,999.0,-0.1,4.153,5195.8,0
569.0,999.0,-1.8,1.327,5099.1,0
89.0,999.0,1.1,4.859,5191.0,0
81.0,999.0,-0.1,4.191,5195.8,0
109.0,999.0,-1.8,1.291,5099.1,0
263.0,999.0,-1.8,1.466,5099.1,0
153.0,999.0,1.4,4.961,5228.1,0
79.0,999.0,1.4,4.963,5228.1,0
123.0,999.0,-2.9,1.26,5076.2,0
500.0,999.0,-1.8,1.25,5099.1,0
96.0,999.0,1.4,4.962,5228.1,0
168.0,999.0,1.1,4.857,5191.0,0
73.0,999.0,1.4,4.959,5228.1,0
167.0,999.0,-1.8,1.281,5099.1,0
345.0,999.0,1.4,4.961,5228.1,0
332.0,999.0,-1.8,1.423,5099.1,0
71.0,999.0,-0.1,4.021,5195.8,0
486.0,999.0,-0.1,4.153,5195.8,1
228.0,999.0,1.4,4.968,5228.1,0
55.0,999.0,1.1,4.859,5191.0,0
230.0,999.0,-2.9,0.869,5076.2,0
55.0,999.0,1.1,4.857,5191.0,0
224.0,999.0,-1.8,1.25,5099.1,0
602.0,999.0,1.4,4.962,5228.1,0
355.0,999.0,1.4,4.961,5228.1,0
219.0,999.0,-0.1,4.076,5195.8,0
469.0,999.0,-1.8,1.344,5099.1,0
41.0,999.0,-0.1,4.021,5195.8,0
147.0,999.0,1.4,4.961,5228.1,0
133.0,999.0,1.4,4.963,5228.1,0
131.0,999.0,-3.4,0.715,5017.5,1
287.0,999.0,1.1,4.858,5191.0,0
58.0,999.0,-2.9,1.268,5076.2,0
318.0,11.0,-1.8,1.313,5099.1,0
162.0,999.0,1.1,4.857,5191.0,0
129.0,999.0,-1.8,1.334,5099.1,0
189.0,999.0,1.4,4.963,5228.1,0
854.0,999.0,1.4,4.96,5228.1,1
265.0,999.0,1.1,4.857,5191.0,0
62.0,999.0,1.4,4.964,5228.1,0
293.0,999.0,-2.9,1.224,5076.2,1
48.0,999.0,-1.8,1.405,5099.1,0
175.0,7.0,-3.4,0.714,5017.5,1
138.0,999.0,1.1,4.858,5191.0,0
464.0,3.0,-1.1,1.0,4963.6,1
328.0,999.0,-1.8,0.655,5008.7,0
320.0,999.0,-1.8,1.799,5099.1,1
131.0,999.0,1.4,4.963,5228.1,0
78.0,5.0,-2.9,0.834,5076.2,0
32.0,999.0,1.1,4.857,5191.0,0
374.0,999.0,-0.1,4.12,5195.8,0
341.0,999.0,1.4,4.962,5228.1,0
186.0,999.0,1.4,4.962,5228.1,0
566.0,999.0,1.4,4.968,5228.1,1
98.0,999.0,-0.1,4.12,5195.8,0
164.0,999.0,1.4,4.96,5228.1,0
38.0,999.0,1.1,4.858,5191.0,0
103.0,999.0,1.4,4.962,5228.1,0
306.0,999.0,1.4,4.865,5228.1,0
278.0,999.0,1.1,4.86,5191.0,0
64.0,999.0,-0.1,4.021,5195.8,0
136.0,999.0,-1.8,1.259,5099.1,0
159.0,999.0,1.4,4.96,5228.1,0
207.0,999.0,1.4,4.958,5228.1,0
251.0,999.0,-2.9,0.884,5076.2,0
172.0,999.0,1.4,4.958,5228.1,0
97.0,999.0,1.4,4.964,5228.1,0
105.0,999.0,1.1,4.857,5191.0,0
79.0,3.0,-2.9,0.838,5076.2,0
144.0,999.0,-1.8,1.405,5099.1,0
118.0,999.0,1.1,4.857,5191.0,0
119.0,999.0,-1.8,0.649,5008.7,0
